Learning results for 100 epochs [S1, lr, perf.]:

Training 1: 20, 0.01, 92.6667%
Training 2: 20, 0.012, 90.6667%
Training 3: 20, 0.014, 96%
Training 4: 20, 0.016, 96.6667%
Training 5: 20, 0.018, 96%
Training 6: 20, 0.02, 96%
Training 7: 20, 0.022, 96.6667%
Training 8: 20, 0.024, 92.6667%
Training 9: 70, 0.01, 94%
Training 10: 70, 0.012, 96.6667%
Training 11: 70, 0.014, 96.6667%
Training 12: 70, 0.016, 96%
Training 13: 70, 0.018, 96.6667%
Training 14: 70, 0.02, 96%
Training 15: 70, 0.022, 96%
Training 16: 70, 0.024, 96.6667%
Training 17: 120, 0.01, 96%
Training 18: 120, 0.012, 96.6667%
Training 19: 120, 0.014, 97.3333%
Training 20: 120, 0.016, 93.3333%
Training 21: 120, 0.018, 90.6667%
Training 22: 120, 0.02, 94.6667%
Training 23: 120, 0.022, 97.3333%
Training 24: 120, 0.024, 96%
Training 25: 170, 0.01, 96.6667%
Training 26: 170, 0.012, 91.3333%
Training 27: 170, 0.014, 96.6667%
Training 28: 170, 0.016, 95.3333%
Training 29: 170, 0.018, 96%
Training 30: 170, 0.02, 96.6667%
Training 31: 170, 0.022, 96.6667%
Training 32: 170, 0.024, 97.3333%
Training 33: 220, 0.01, 91.3333%
Training 34: 220, 0.012, 97.3333%
Training 35: 220, 0.014, 90.6667%
Training 36: 220, 0.016, 96.6667%
Training 37: 220, 0.018, 96%
Training 38: 220, 0.02, 96%
Training 39: 220, 0.022, 97.3333%
Training 40: 220, 0.024, 94.6667%
Training 41: 270, 0.01, 91.3333%
Training 42: 270, 0.012, 96%
Training 43: 270, 0.014, 91.3333%
Training 44: 270, 0.016, 95.3333%
Training 45: 270, 0.018, 97.3333%
Training 46: 270, 0.02, 96.6667%
Training 47: 270, 0.022, 96%
Training 48: 270, 0.024, 90.6667%

Total time: 13631.171964s (3.786437 h)
Best performance: 97.3333%
